,DISTRICT_NAME,Value,Crop,Metric,Year
178,Jumla,1100,BARLEY,AREA,1919-8182
179,Kailali,30,BARLEY,AREA,1919-8182
180,Kalikot,680,BARLEY,AREA,1919-8182
181,Kanchanpur,160,BARLEY,AREA,1919-8182
182,Kapilbastu,200,BARLEY,AREA,1919-8182
183,Kaski,100,BARLEY,AREA,1919-8182
184,Kathmandu,40,BARLEY,AREA,1919-8182
185,Kavre,50,BARLEY,AREA,1919-8182
186,Khotang,150,BARLEY,AREA,1919-8182
187,Lalitpur,30,BARLEY,AREA,1919-8182
188,Lamjung,200,BARLEY,AREA,1919-8182
189,Mahottari,790,BARLEY,AREA,1919-8182
190,Makwanpur,180,BARLEY,AREA,1919-8182
191,Manang,600,BARLEY,AREA,1919-8182
192,Morang,100,BARLEY,AREA,1919-8182
193,Mugu,890,BARLEY,AREA,1919-8182
194,Mustang,900,BARLEY,AREA,1919-8182
195,Myagdi,230,BARLEY,AREA,1919-8182
196,Nawalparasi,110,BARLEY,AREA,1919-8182
197,Nuwakot,90,BARLEY,AREA,1919-8182
198,Okhaldhunga,80,BARLEY,AREA,1919-8182
199,Palpa,50,BARLEY,AREA,1919-8182
200,Panchthar,50,BARLEY,AREA,1919-8182
201,Parbat,300,BARLEY,AREA,1919-8182
202,Parsa,340,BARLEY,AREA,1919-8182
203,Pyuthan,150,BARLEY,AREA,1919-8182
204,Ramechhap,90,BARLEY,AREA,1919-8182
205,Rasuwa,400,BARLEY,AREA,1919-8182
206,Rautahat,2400,BARLEY,AREA,1919-8182
207,Rolpa,490,BARLEY,AREA,1919-8182
208,Rukum,690,BARLEY,AREA,1919-8182
209,Rupandehi,120,BARLEY,AREA,1919-8182
210,Salyan,1140,BARLEY,AREA,1919-8182
211,Sankhuwasabha,240,BARLEY,AREA,1919-8182
212,Saptari,80,BARLEY,AREA,1919-8182
213,Sarlahi,320,BARLEY,AREA,1919-8182
214,Sindhuli,220,BARLEY,AREA,1919-8182
215,Sindhupalchok,300,BARLEY,AREA,1919-8182
216,Siraha,100,BARLEY,AREA,1919-8182
217,Solukhumbu,550,BARLEY,AREA,1919-8182
218,Sunsari,50,BARLEY,AREA,1919-8182
219,Surkhet,1170,BARLEY,AREA,1919-8182
220,Syangja,40,BARLEY,AREA,1919-8182
221,Tanahu,60,BARLEY,AREA,1919-8182
222,Taplejung,130,BARLEY,AREA,1919-8182
223,Tehrathum,130,BARLEY,AREA,1919-8182
224,Udayapur,30,BARLEY,AREA,1919-8182
225,Achham,500,BARLEY,AREA,1919-8283
226,Arghakhanchi,300,BARLEY,AREA,1919-8283
227,Baglung,200,BARLEY,AREA,1919-8283
228,Baitadi,430,BARLEY,AREA,1919-8283
